"Year","Month","Day","Wind","Temperature","Humidity","Cloud"
2024,1,1,1.64665793266357,3.5,94,7.7
2024,1,2,1.01280208994822,5.1,82.3,7.3
2024,1,3,2.6307809892769,7.3,87.5,7.3
2024,1,4,4.03319517360409,7.5,84.5,7.3
2024,1,5,1.86888211311479,2.5,82.5,7.7
2024,1,6,1.57088396715496,1.2,93,8
2024,1,7,2.97634249641354,-3.9,89,8
2024,1,8,2.01531940906037,-9.6,82.8,4
2024,1,9,1.70730751638596,-14.2,82.3,1
2024,1,10,1.30789669804129,-11.3,83,0
2024,1,11,3.39569523166075,-5.2,77.5,5.3
2024,1,12,2.08994294729454,-2.4,80,5
2024,1,13,4.31367758002683,-0.5,80.8,8
2024,1,14,2.10729380741194,0.2,87.5,7.7
2024,1,15,5.53990519036086,1.3,70,6.3
2024,1,16,2.77941509352524,-0.6,84,6.7
2024,1,17,0.969354376354583,-4,82.3,4.3
2024,1,18,1.87415280727971,2.4,95,8
2024,1,19,1.5393956018544,-1.3,81,7.3
2024,1,20,3.72143804971671,-0.5,71.5,2.7
2024,1,21,1.42606744682655,0.7,78.8,5
2024,1,22,0.791795264236054,1.4,57.8,6
2024,1,23,3.0663151433933,4.3,86.8,7
2024,1,24,2.27535324177654,5.5,78.3,5.7
2024,1,25,5.48381434589873,6.3,69,7.3
2024,1,26,1.17782097893193,3.3,87.8,7.7
2024,1,27,3.69409894320658,3.7,83.3,8
2024,1,28,0.67869196180208,2.3,91.5,8
2024,1,29,0.885056241638573,1.5,83.3,0.7
2024,1,30,1.45652352366199,1.3,79,0.3
2024,1,31,2.13343938361617,1.4,77.8,7.3
2024,2,1,2.42933165930761,2.8,89,6
2024,2,2,2.53554976359577,4.4,70.5,6.3
2024,2,3,4.93109406303496,7,78.8,8
2024,2,4,4.36420363367839,7.4,83.3,7.3
2024,2,5,5.37302954461362,8.2,84,8
2024,2,6,5.1346444193004,8.8,60,7
2024,2,7,4.32119387289889,6.6,67.8,7.7
2024,2,8,1.33590172413198,1.8,88,8
2024,2,9,1.83571925825108,3.7,95.8,5.3
2024,2,10,1.38676198212097,7.5,91.8,6
2024,2,11,1.36595735862467,8,95.3,8
2024,2,12,1.3411035621445,8.2,79.8,7.3
2024,2,13,3.02246248095917,4.9,76.5,7
2024,2,14,1.29437582352257,4.9,70.3,4.3
2024,2,15,0.332746052591031,8.2,72,5.7
2024,2,16,0.762798290067129,6.8,81.8,3
2024,2,17,2.28632967507615,6,93,7.3
2024,2,18,2.53117841462934,4.5,68,6
2024,2,19,2.37538681131492,3.6,83.8,8
2024,2,20,1.70806445884891,6.9,86.8,7.7
2024,2,21,1.72570720542859,6.2,81,5.3
2024,2,22,1.6872744963983,6.8,73.8,7.7
2024,2,23,0.841083519626096,8.5,87,7.7
2024,2,24,1.8191669865969,9,70,6.3
2024,2,25,0.483636385237242,7.5,71.3,5.7
2024,2,26,1.24669578457268,7.6,79.3,4
2024,2,27,1.6138013623764,10.7,77.3,6.3
2024,2,28,1.34927584505325,11.1,84.5,7
2024,2,29,2.21014431022517,9.9,83.8,6.3
2024,3,1,2.61137306027597,8.3,88.5,7.7
2024,3,2,1.57219447499586,7.8,87.8,8
2024,3,3,2.17516776483685,9.6,80.8,5.3
2024,3,4,2.56642704600699,8.4,86,7.7
2024,3,5,1.55330426132043,7.7,91.5,8
2024,3,6,1.90709169409565,3.2,94.8,7.3
2024,3,7,3.72431473406056,2.4,82.8,8
2024,3,8,1.31426834760631,2.4,77.3,4
2024,3,9,1.76441697264722,3.9,83.3,4.7
2024,3,10,2.87282782910921,7.4,76,7.7
2024,3,11,2.59944729821683,8.7,89,8
2024,3,12,1.37425132893501,7.6,95.5,8
2024,3,13,1.09505518698297,7.1,92,8
2024,3,14,1.72350522515058,6,88,7.7
2024,3,15,1.93864927875942,5.9,85.5,7
2024,3,16,1.07987039516581,9.4,82.3,5
2024,3,17,3.5751073088931,6.6,60,3.3
2024,3,18,1.76630307072436,2.5,72.3,7.3
2024,3,19,2.30977908775199,4.5,73.3,3.3
2024,3,20,0.806607531853336,5,73,3.3
2024,3,21,1.62526917170041,7.5,71,6.3
2024,3,22,1.71467291943451,10.4,80.8,7
2024,3,23,3.61363300711469,11.7,76.8,7
2024,3,24,1.73321627853075,5.8,83.3,6.3
2024,3,25,1.60768656323512,4.8,83.3,7
2024,3,26,2.08753476364679,6.7,75.3,4
2024,3,27,2.16359449393369,10.8,63.8,3.7
2024,3,28,2.21133769077508,13.1,68.5,6.3
2024,3,29,1.60486694642763,11.8,69.5,2
2024,3,30,2.32405478065201,14.9,65,3.7
2024,3,31,1.72754049803242,17.7,59.5,4.3
2024,4,1,1.99507142364686,18.6,60.5,7.3
2024,4,2,2.51891437703294,12,95,7.3
2024,4,3,4.45995546690496,12.4,63.5,6.7
2024,4,4,1.83113311407839,12.5,71.5,5.7
2024,4,5,2.36405551197956,14.1,63.8,5.3
2024,4,6,2.14422495433586,16.2,62.5,5.7
2024,4,7,1.34015847553329,16.5,72.5,4
2024,4,8,1.36116435452155,19.2,59.3,4.7
2024,4,9,1.87285059953187,18.9,56.8,4.7
2024,4,10,2.76904806971002,15.8,71.3,8
2024,4,11,1.05043161418908,13.5,66.5,5.7
2024,4,12,1.51713376989319,13.8,66.5,3
2024,4,13,3.14105872008121,16,62.5,5.7
2024,4,14,2.78245455919418,16.4,68.5,6.3
2024,4,15,1.11652483040898,12.5,90.8,8
2024,4,16,2.66529485321564,9.3,64.5,6.7
2024,4,17,3.22097525762624,5.5,80.3,7.7
2024,4,18,2.49329683823136,5.3,78.5,4.7
2024,4,19,3.31802074412351,6.7,64.5,6
2024,4,20,1.27129708454263,7.5,84.3,7.3
2024,4,21,1.05659542105735,4.3,90.8,8
2024,4,22,1.39614310422253,4.3,74.5,7.7
2024,4,23,3.43669310725269,6.6,60.3,5.3
2024,4,24,2.01049314479589,7.2,89,8
2024,4,25,1.89516947764641,8.3,69.5,4
2024,4,26,1.21791655724615,8.7,64.5,3
2024,4,27,2.36480523192492,11.2,74.3,5.3
2024,4,28,1.79881102482053,13.8,67.5,4
2024,4,29,2.23020166870733,17.8,59.8,3
2024,4,30,2.85787545787978,17.9,55.8,0.7
